"time,latitudelongitude,depthmagType,nstgap,dminrms,netid,updatedplace,typehorizontalError,depthErrormagError,magNststatus,locationSource,magSource"
",-5.1849,-81.375299,,,,,,,,,,,,,,,,,,"
",-5.1907,-81.3756,,,,,,,,,,,,,,,,,,"
",-5.1965,-81.377,,,,,,,,,,,,,,,,,,"
",-5.2021,-81.3793,,,,,,,,,,,,,,,,,,"
",-5.2078,-81.3806,,,,,,,,,,,,,,,,,,"
",-5.2075,-81.3802,,,,,,,,,,,,,,,,,,"
",-5.2039,-81.379399,,,,,,,,,,,,,,,,,,"
",-5.2023,-81.3829,,,,,,,,,,,,,,,,,,"
",-5.2005,-81.3844,,,,,,,,,,,,,,,,,,"
",-5.1927,-81.387,,,,,,,,,,,,,,,,,,"
",-5.1858,-81.3876,,,,,,,,,,,,,,,,,,"
",-5.179,-81.3881,,,,,,,,,,,,,,,,,,"
",-5.1723,-81.388899,,,,,,,,,,,,,,,,,,"
",-5.1654,-81.3899,,,,,,,,,,,,,,,,,,"
",-5.1586,-81.3899,,,,,,,,,,,,,,,,,,"
",-5.152,-81.389799,,,,,,,,,,,,,,,,,,"
",-5.1387,-81.3903,,,,,,,,,,,,,,,,,,"
",-5.1322,-81.3902,,,,,,,,,,,,,,,,,,"
",-5.1257,-81.389599,,,,,,,,,,,,,,,,,,"
",-5.1196,-81.388199,,,,,,,,,,,,,,,,,,"
",-5.1134,-81.387,,,,,,,,,,,,,,,,,,"
",-5.1128,-81.3874,,,,,,,,,,,,,,,,,,"
",-5.1159,-81.388399,,,,,,,,,,,,,,,,,,"
",-5.1147,-81.389299,,,,,,,,,,,,,,,,,,"
",-5.1128,-81.390899,,,,,,,,,,,,,,,,,,"
",-5.1257,-81.3879,,,,,,,,,,,,,,,,,,"
",-5.1322,-81.3895,,,,,,,,,,,,,,,,,,"
",-5.1386,-81.3908,,,,,,,,,,,,,,,,,,"
",-5.1449,-81.390899,,,,,,,,,,,,,,,,,,"
",-5.1513,-81.391399,,,,,,,,,,,,,,,,,,"
",-5.1575,-81.3919,,,,,,,,,,,,,,,,,,"
",-5.1636,-81.3922,,,,,,,,,,,,,,,,,,"
",-5.1696,-81.3928,,,,,,,,,,,,,,,,,,"
",-5.1756,-81.3926,,,,,,,,,,,,,,,,,,"
",-5.1816,-81.3926,,,,,,,,,,,,,,,,,,"
",-5.1875,-81.3924,,,,,,,,,,,,,,,,,,"
",-5.1934,-81.392,,,,,,,,,,,,,,,,,,"
",-5.1992,-81.3922,,,,,,,,,,,,,,,,,,"
",-5.1962,-81.3917,,,,,,,,,,,,,,,,,,"
",-5.1938,-81.3915,,,,,,,,,,,,,,,,,,"
",-5.1912,-81.3937,,,,,,,,,,,,,,,,,,"
",-5.189,-81.3955,,,,,,,,,,,,,,,,,,"
",-5.1795,-81.375999,,,,,,,,,,,,,,,,,,"
",-5.1728,-81.3757,,,,,,,,,,,,,,,,,,"
",-5.1659,-81.3747,,,,,,,,,,,,,,,,,,"
",-5.1591,-81.374599,,,,,,,,,,,,,,,,,,"
",-5.1459,-81.3777,,,,,,,,,,,,,,,,,,"
",-5.1392,-81.3792,,,,,,,,,,,,,,,,,,"
",-5.1322,-81.3801,,,,,,,,,,,,,,,,,,"
",-5.1284,-81.380499,,,,,,,,,,,,,,,,,,"
",-5.1308,-81.381199,,,,,,,,,,,,,,,,,,"
",-5.1307,-81.3815,,,,,,,,,,,,,,,,,,"
",-5.1269,-81.3831,,,,,,,,,,,,,,,,,,"
",-5.1248,-81.3847,,,,,,,,,,,,,,,,,,"
",-5.1252,-81.3888,,,,,,,,,,,,,,,,,,"
",-5.147,-81.3883,,,,,,,,,,,,,,,,,,"
",-5.1527,-81.388699,,,,,,,,,,,,,,,,,,"
",-5.1584,-81.3902,,,,,,,,,,,,,,,,,,"
",-5.164,-81.3911,,,,,,,,,,,,,,,,,,"
",-5.1695,-81.390899,,,,,,,,,,,,,,,,,,"
",-5.1748,-81.3917,,,,,,,,,,,,,,,,,,"
",-5.18,-81.3919,,,,,,,,,,,,,,,,,,"
",-5.1838,-81.393599,,,,,,,,,,,,,,,,,,"
",-5.1804,-81.392999,,,,,,,,,,,,,,,,,,"
",-5.1767,-81.392999,,,,,,,,,,,,,,,,,,"
",-5.1714,-81.396099,,,,,,,,,,,,,,,,,,"
",-5.1684,-81.3967,,,,,,,,,,,,,,,,,,"
",-5.7466,-81.2667,,,,,,,,,,,,,,,,,,"
",-5.7562,-81.2667,,,,,,,,,,,,,,,,,,"
",-5.7538,-81.2667,,,,,,,,,,,,,,,,,,"
",-5.7503,-81.266799,,,,,,,,,,,,,,,,,,"
",-5.7474,-81.2678,,,,,,,,,,,,,,,,,,"
",-5.7611,-81.265899,,,,,,,,,,,,,,,,,,"
",-5.7714,-81.2665,,,,,,,,,,,,,,,,,,"
",-5.7853,-81.2665,,,,,,,,,,,,,,,,,,"
",-5.7923,-81.2663,,,,,,,,,,,,,,,,,,"
",-5.7989,-81.264099,,,,,,,,,,,,,,,,,,"
",-5.805,-81.260499,,,,,,,,,,,,,,,,,,"
",-5.8186,-81.2577,,,,,,,,,,,,,,,,,,"
",-5.8307,-81.264999,,,,,,,,,,,,,,,,,,"
",-5.828,-81.263699,,,,,,,,,,,,,,,,,,"
",-5.8237,-81.264299,,,,,,,,,,,,,,,,,,"
",-5.8199,-81.2652,,,,,,,,,,,,,,,,,,"
",-5.804,-81.255999,,,,,,,,,,,,,,,,,,"
",-5.797,-81.258699,,,,,,,,,,,,,,,,,,"
",-5.7833,-81.261399,,,,,,,,,,,,,,,,,,"
",-5.7765,-81.261,,,,,,,,,,,,,,,,,,"
",-5.7694,-81.2617,,,,,,,,,,,,,,,,,,"
",-5.7624,-81.2649,,,,,,,,,,,,,,,,,,"
",-5.7552,-81.266599,,,,,,,,,,,,,,,,,,"
",-5.7506,-81.267,,,,,,,,,,,,,,,,,,"
",-5.7548,-81.2671,,,,,,,,,,,,,,,,,,"
",-5.7511,-81.2683,,,,,,,,,,,,,,,,,,"
",-5.7806,-81.2785,,,,,,,,,,,,,,,,,,"
",-5.7865,-81.276,,,,,,,,,,,,,,,,,,"
",-5.7926,-81.2742,,,,,,,,,,,,,,,,,,"
",-5.7987,-81.272299,,,,,,,,,,,,,,,,,,"
",-5.8048,-81.270699,,,,,,,,,,,,,,,,,,"
",-5.8111,-81.271,,,,,,,,,,,,,,,,,,"
",-5.817,-81.2694,,,,,,,,,,,,,,,,,,"
",-5.8231,-81.268899,,,,,,,,,,,,,,,,,,"
",-5.8215,-81.268899,,,,,,,,,,,,,,,,,,"
",-5.816,-81.2692,,,,,,,,,,,,,,,,,,"
",-5.8125,-81.2706,,,,,,,,,,,,,,,,,,"
",-5.8072,-81.2704,,,,,,,,,,,,,,,,,,"
",-5.8003,-81.273,,,,,,,,,,,,,,,,,,"
",-5.7933,-81.2755,,,,,,,,,,,,,,,,,,"
",-5.7864,-81.277899,,,,,,,,,,,,,,,,,,"
",-5.7797,-81.2801,,,,,,,,,,,,,,,,,,"
",-5.7728,-81.2816,,,,,,,,,,,,,,,,,,"
",-5.7665,-81.2826,,,,,,,,,,,,,,,,,,"
",-5.7713,-81.2821,,,,,,,,,,,,,,,,,,"
",-5.7696,-81.2825,,,,,,,,,,,,,,,,,,"
",-5.6307,-81.2893,,,,,,,,,,,,,,,,,,"
",-5.6162,-81.289899,,,,,,,,,,,,,,,,,,"
",-5.609,-81.29,,,,,,,,,,,,,,,,,,"
",-5.6018,-81.2891,,,,,,,,,,,,,,,,,,"
",-5.595,-81.2882,,,,,,,,,,,,,,,,,,"
",-5.5881,-81.2868,,,,,,,,,,,,,,,,,,"
",-5.5817,-81.2849,,,,,,,,,,,,,,,,,,"
",-5.5754,-81.283099,,,,,,,,,,,,,,,,,,"
",-5.5684,-81.2825,,,,,,,,,,,,,,,,,,"
",-5.5695,-81.2833,,,,,,,,,,,,,,,,,,"
",-5.5684,-81.2842,,,,,,,,,,,,,,,,,,"
",-5.5452,-81.271599,,,,,,,,,,,,,,,,,,"
",-5.5522,-81.271999,,,,,,,,,,,,,,,,,,"
",-5.559,-81.274099,,,,,,,,,,,,,,,,,,"
",-5.566,-81.275899,,,,,,,,,,,,,,,,,,"
",-5.5723,-81.2796,,,,,,,,,,,,,,,,,,"
",-5.5783,-81.2832,,,,,,,,,,,,,,,,,,"
",-5.5841,-81.2871,,,,,,,,,,,,,,,,,,"
",-5.591,-81.2887,,,,,,,,,,,,,,,,,,"
",-5.5982,-81.2884,,,,,,,,,,,,,,,,,,"
",-5.6053,-81.288,,,,,,,,,,,,,,,,,,"
",-5.6194,-81.2896,,,,,,,,,,,,,,,,,,"
",-5.6262,-81.289699,,,,,,,,,,,,,,,,,,"
",-5.6263,-81.288999,,,,,,,,,,,,,,,,,,"
",-5.6222,-81.290799,,,,,,,,,,,,,,,,,,"
",-5.6198,-81.2919,,,,,,,,,,,,,,,,,,"
",-5.6048,-81.2864,,,,,,,,,,,,,,,,,,"
",-5.5983,-81.2873,,,,,,,,,,,,,,,,,,"
",-5.5917,-81.287399,,,,,,,,,,,,,,,,,,"
",-5.5855,-81.2864,,,,,,,,,,,,,,,,,,"
",-5.5795,-81.2848,,,,,,,,,,,,,,,,,,"
",-5.5734,-81.2832,,,,,,,,,,,,,,,,,,"
",-5.5668,-81.2832,,,,,,,,,,,,,,,,,,"
",-5.5608,-81.2823,,,,,,,,,,,,,,,,,,"
",-5.5496,-81.2769,,,,,,,,,,,,,,,,,,"
",-5.5437,-81.2747,,,,,,,,,,,,,,,,,,"
",-5.5379,-81.272299,,,,,,,,,,,,,,,,,,"
",-5.5346,-81.2722,,,,,,,,,,,,,,,,,,"
",-5.5395,-81.2738,,,,,,,,,,,,,,,,,,"
",-5.5384,-81.275899,,,,,,,,,,,,,,,,,,"
",-5.5538,-81.2748,,,,,,,,,,,,,,,,,,"
",-5.561,-81.2776,,,,,,,,,,,,,,,,,,"
",-5.5681,-81.2798,,,,,,,,,,,,,,,,,,"
",-5.5747,-81.2828,,,,,,,,,,,,,,,,,,"
",-5.5813,-81.2859,,,,,,,,,,,,,,,,,,"
